UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200210-22:53:03.419860,-108.160517,39.018195,3101,241.1,168.7,87.5,-108.054318,39.024746,4912.7,0.8,1.54,44.9
20200210-22:53:03.519880,-108.160609,39.018195,3101,240.9,167.8,87.1,-108.054322,39.024746,4912.7,0.79,1.54,44.9
20200210-22:53:03.619880,-108.160702,39.018195,3101,240,169,86.9,-108.054326,39.024747,4912.7,0.8,1.55,44.9
20200210-22:53:03.719880,-108.160794,39.018195,3101,241.4,168.2,86.7,-108.05433,39.024747,4912.7,0.78,1.55,44.9
20200210-22:53:03.819880,-108.160794,39.018288,3101,240.1,168.4,87,-108.054333,39.024747,4912.7,0.79,1.55,44.9
20200210-22:53:03.919880,-108.160887,39.018288,3100,241,168.7,86.6,-108.054337,39.024747,4912.7,0.8,1.55,44.9
20200210-22:53:04.019880,-108.16098,39.018288,3100,242,168,86.3,-108.054341,39.024748,4912.7,0.8,1.55,44.9
20200210-22:53:04.119880,-108.161072,39.018288,3100,241.7,167.8,86,-108.054345,39.024748,4912.7,0.81,1.55,44.9
20200210-22:53:04.219900,-108.161165,39.018288,3100,241.3,169.5,85.8,-108.054348,39.024748,4912.7,0.81,1.55,44.9
20200210-22:53:04.319900,-108.161165,39.018288,3100,240.3,169.1,85.9,-108.054352,39.024748,4912.7,0.8,1.55,44.9
20200210-22:53:04.419880,-108.161257,39.018288,3100,240.4,168,85.7,-108.054356,39.024748,4912.7,0.78,1.55,44.9
20200210-22:53:04.519880,-108.16135,39.018288,3100,241.3,167.4,85.6,-108.05436,39.024749,4912.7,0.8,1.55,44.9
20200210-22:53:04.619900,-108.161443,39.018288,3100,240.9,169.5,85.9,-108.054363,39.024749,4912.7,0.78,1.55,44.9
20200210-22:53:04.719900,-108.161535,39.018288,3100,241.1,169.2,85.9,-108.054367,39.024749,4912.7,0.8,1.55,44.9
20200210-22:53:04.819900,-108.161628,39.018288,3099,240,168.9,85.7,-108.054371,39.024749,4912.7,0.81,1.56,44.9
20200210-22:53:04.919900,-108.161628,39.018288,3099,240.6,168.9,85.8,-108.054375,39.024749,4912.7,0.79,1.55,44.9
20200210-22:53:05.019900,-108.16172,39.018288,3099,240.1,169.1,85.8,-108.054378,39.02475,4912.7,0.8,1.55,44.9
20200210-22:53:05.119900,-108.161813,39.018288,3099,240.7,169.8,85.8,-108.054382,39.02475,4912.7,0.79,1.55,44.9
20200210-22:53:05.219900,-108.161906,39.018288,3099,243.4,168.5,85.6,-108.054386,39.02475,4912.7,0.8,1.56,44.9
20200210-22:53:05.319920,-108.161998,39.018288,3099,241.8,169.2,85.8,-108.05439,39.02475,4912.7,0.8,1.56,44.9
20200210-22:53:05.419920,-108.162091,39.018288,3099,240.4,169.5,85.5,-108.054393,39.02475,4912.7,0.8,1.56,44.9
20200210-22:53:05.519920,-108.162091,39.018288,3099,239.5,169.5,86.1,-108.054397,39.024751,4912.7,0.82,1.56,44.9
20200210-22:53:05.619920,-108.162183,39.01838,3099,239.7,170.2,85.8,-108.054401,39.024751,4912.6,0.81,1.56,44.9
20200210-22:53:05.719920,-108.162276,39.01838,3099,241.1,170.1,86.1,-108.054405,39.024751,4912.6,0.81,1.56,44.9
